"","id","code","lastpage","random","Vig1","Vig2","Vig3","ursache","affekt_1","affekt_2","affekt_3","affekt_4","affekt_5","affekt_6","affekt_7","affekt_8","affekt_10","affekt_11","affekt_13","affekt_12","affekt_14","affekt_15","affekt_16","text","int_1","sta_1","glo_1","kon_1","sozunt_ins5","sozunt_ins1","sozunt_ins4","sozunt_emo5","sozunt_inf3","sozunt_emo1","sozunt_inf1","sozunt_emo2","sozunt_inf2","sozunt_emo3","sozunt_ins3","sozunt_emo4","sozunt_inf4","sozunt_inf5","sozunt_ins2","sozuntoffen_1","sozuntoffen_2","sozuntoffen_3","check_1","seffsab_1","seffsab_2","seffsab_20","seffsab_14","seffsab_6","seffsab_28","seffsab_48","seffsab_39","seffsab_46","seffsab_47","seffsab_4","seffsab_29","seffsab_44","seffsab_27","seffsab_42","seffsab_9","sex","age"
"19",381,"AN13RAE",12,2,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",382,"MA28HUH",9,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",383,"GA04HAS",9,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",385,"BR04HAW",30,1,NA,NA,NA,"Die Lerngruppe ist nicht auf den Unterricht fokussiert, es fehlt der klare Rahmen.",3,3,1,1,1,1,1,3,1,1,1,1,2,4,2,NA,4,4,4,5,1,2,5,6,6,5,6,6,5,6,4,6,6,6,2,"den/die LAA* fragen, wie es ihm/ihr geht.","mit dem/der LAA* besprechen, ob diese Problematik nur in dieser Lerngruppe auftritt oder auch in anderen.","möglichst konkrete Beobachtungen aus dem Unterricht teilen.",2,4,3,4,3,4,3,3,4,4,3,4,4,4,4,4,4,1,54
"23",386,"MA15GÜL",30,2,NA,NA,NA,"unklare Aufgabenstellung",1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,NA,4,3,2,7,2,3,2,5,6,4,6,6,6,6,2,6,6,6,3,"","","",4,4,3,4,3,3,3,4,4,4,3,4,4,3,4,4,4,2,58
"24",387,"ER06WOD",30,3,NA,NA,NA,"Individuelles (Fehl)verhalten des störenden Schülers ",3,1,4,1,1,4,1,1,4,1,1,1,1,5,1,NA,2,2,2,4,4,5,1,6,5,6,1,6,6,6,1,5,6,6,2,"","","",4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,60
"25",388,"RE19HEB",30,1,NA,NA,NA,"keine gute Beziehungsebene zwischen Lehrkraft und Lerngruppe",2,4,3,1,2,1,1,4,2,1,2,1,3,4,4,NA,4,7,3,6,2,5,5,5,6,6,6,6,6,6,4,6,6,6,6,"","","",2,4,3,4,3,4,3,3,3,3,4,3,3,3,4,4,4,1,47
"26",390,"IN15JÜB",30,2,NA,NA,NA,"Der Arbeitsauftrag hat die Schüler nicht erreicht.",1,3,5,1,1,1,1,2,2,1,1,1,1,5,1,NA,4,7,3,6,5,5,NA,6,5,3,4,6,4,5,2,5,5,5,4,"""die Schüler von Heute"" - Diskussion vermeiden.","","",5,3,3,4,3,4,2,4,3,2,3,4,4,4,4,3,4,2,57
"27",391,"JO04HEL",4,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",392,"HE07ENL",8,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",393,"CL17RAM",7,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",394,"SU18EDB",8,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",395,"UR29KAH",19,1,NA,NA,NA,"Die SuS haben kein Interesse, sind nicht motiviert.",1,1,5,1,1,1,1,1,NA,1,1,1,1,5,1,NA,4,5,4,6,1,1,2,6,6,2,6,6,3,5,4,5,6,6,6,"auf ein Coching- Gespräch vorschlagen","auf die Lerngruppe verweisen","die Ausbildungsleher:innen einbeziehen",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",396,"UL09ROL",30,2,NA,NA,NA,"mangelnde SuS-Orientierung/Passung des Arbeitsauftrags",2,3,4,1,1,1,1,1,1,1,1,1,1,4,1,NA,5,6,4,6,2,2,2,6,6,1,6,5,6,6,1,6,6,6,2,"LAA bitten, diesbezüglich eigene Gesprächs- und Reflexionsschwerpunkte sowie Bedarfe zu benennen","gemeinsam Ursachenforschung betreiben ","gemeinsam Handlungsoptionen reflektieren",3,4,3,4,2,3,4,4,4,3,3,3,3,4,3,3,4,2,37
"33",397,"MA14MAL",30,3,NA,NA,NA,"Rollenverständnis des störenden Schülers in der Situation im Bezug zur Rollenklarheit der Lehrkraft und deren geleisteter Beziehungsarbeit",2,4,5,1,3,1,1,2,1,1,3,1,2,5,2,NA,4,7,4,6,1,3,1,6,6,2,6,6,6,6,5,6,6,6,5,"die Lern- und Entwicklungschance herausstellen, die sich hier für den/die LAA bietet","auf meine eigenen Erfahrungen verweisen: Mit zunehmender Rollenklarheit, die mit der Berufserfahrung kommt, erweitert sich das Repertoire im Umgang mit ihnen und das ist ein nötiger und normaler Prozess in der eigenen Professionalisierung","ggf. den/die LAA ermuntern, in UBs mit der Störung genauso umzugehen, als säße ich nicht hinten im Unterricht. ",5,4,3,4,3,4,3,4,4,4,4,3,4,4,4,3,4,2,49
"34",398,"UR11MAG",30,3,NA,NA,NA,"Die Beziehung zwischen Lehrkraft und Schüler scheint durch etwas gestört zu sein.",1,2,3,1,1,1,1,1,1,1,1,1,1,3,1,NA,4,4,4,6,1,1,3,5,3,6,6,6,3,4,3,6,6,4,2,"nach der Wahrnehmung der/des LAA fragen","die Perspektive des Schülers untersuchen","nach bisher bewältigten Situationen solcher Art fragen",3,4,3,4,3,4,4,3,3,3,4,3,2,4,4,4,4,1,39
"35",399,"BE18HAG",30,3,NA,NA,NA,"Über oder Unterforderung",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,4,4,4,4,1,1,3,5,6,1,1,6,5,6,4,6,6,6,4,"den LAA bitten seine Sicht darauf wieder zu geben","erst einmal gucken, woran es gelegen haben könnte, hatte der Unterricht überhaupt etwas damit zu tun?","",4,4,4,3,2,3,4,1,3,3,3,4,4,4,4,4,4,1,38
"36",400,"BE31GES",30,2,NA,NA,NA,"Die SUS haben keine ausreichende Gelegenheit gehabt, den Arbeitsauftrag anzunehmen. Die Beschreibung der Situation ""stellt einen Arbeitsauftrag"", ""den die SUS [...] bearbeiten sollen"", ""zum Arbeiten aufgefordert hat"" wirkt insgesamt so, als liege hier eine (zu) starke Lehrer*innenzentrierung vor.)"" ",1,3,4,1,3,1,1,3,2,1,2,1,1,4,1,NA,6,7,3,6,1,1,4,5,4,2,5,6,4,6,2,3,5,5,4,"...mit gezielten Fragen die/ den LAA dazu bringen, eigene Lösungen für die Bewältigung der Unterrichtsstörung zu entwickeln.","...Rückmeldungen anderer Ausbildungsbeteiligter im gleichen UB (ABA, SL, Ausbildungslehrer*innen) einholen.","",3,3,2,4,3,3,4,2,3,4,4,3,2,3,4,4,4,2,39
"37",401,"HE10JÜL",30,2,NA,NA,NA,"Unklarer Arbeitsauftrag",1,1,3,1,1,1,1,1,1,1,1,1,1,4,1,NA,5,5,4,7,1,3,6,6,6,2,5,6,5,6,3,5,6,6,4,"","","",3,4,3,4,3,4,4,4,4,4,3,4,3,4,4,4,4,1,44
"38",402,"EV07ULP",30,3,NA,NA,NA,"Fehlende Schüleraktivierung",4,4,4,1,3,2,3,3,3,1,2,1,2,4,4,NA,6,6,4,6,1,3,4,6,6,6,3,6,6,6,3,6,6,6,6,"","","",4,3,3,4,2,3,4,3,3,3,3,3,2,4,4,4,4,1,47
"39",403,"AN20FRM",30,3,NA,NA,NA,"Der Schüler fühlt sich bloßgestellt vor der Klasse, wenn er sich erheben soll, eine Ermahnung seitens des LAA wäre zuerst angebracht.",1,4,4,1,1,1,1,3,1,1,1,1,4,3,2,NA,5,5,5,7,1,1,4,5,5,4,6,4,6,4,3,4,6,6,3,"einen Perspektivwechsel anregen, sodass LAA möglichst selbst  Handlungsalternativen findet und diese benennt. Diese können dann von weiteren GesprächsTN ergänzt und diskutiert werden","","",3,4,3,3,2,4,4,2,3,3,4,4,2,3,3,3,4,1,40
"40",404,"MA19HEK",30,2,NA,NA,NA,"Mangelnde Gewöhnung Arbeitsaufträge zu befolgen",1,2,4,1,1,1,1,2,1,1,1,1,1,1,2,NA,5,6,5,5,2,3,NA,5,5,5,5,5,4,5,4,5,6,6,4,"Ich würde mir Beobachtungen, vermutliche Ursachen und Strategien der LAA  anhören","Ich würde die systemischen Ursachen ansprechen","",3,4,4,4,3,3,3,2,3,2,3,3,3,3,3,3,4,2,59
"41",405,"FR10VID",30,2,NA,NA,NA,"Der Arbeitsauftrag ist unklar oder nicht angemessen (zu schwer, zu leicht, zu wenig Lebensweltbezug)",3,4,3,1,3,2,3,3,2,1,3,1,3,4,2,NA,5,4,4,5,2,2,1,3,5,4,5,4,5,5,3,4,5,5,3,"Gründe für die Störung gemeinsam erörtern","die Beobachtungen der Situation abgleichen","dazu anregen, auch ein Feedback der SuS einzuholen",4,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,2,49
"42",408,"MA02ECD",30,3,NA,NA,NA,"Aufmerksamkeit der anderen SuS bekommen ",3,3,4,1,1,2,1,2,2,1,1,1,3,4,1,NA,3,6,6,6,2,4,1,6,6,6,6,6,5,6,4,6,6,6,5,"","","",4,4,3,4,3,3,3,2,3,3,4,4,3,3,4,4,4,2,47
"43",409,"BR05JON",30,1,NA,NA,NA,"Emotionalität der SuS",1,2,3,1,2,1,2,2,1,1,1,1,1,1,2,NA,4,6,5,6,2,4,3,6,6,6,6,6,4,6,5,6,6,5,5,"Raum für eigene Vermutung geben, warum Unruhe auftauchte","weitere Beratung anbieten, auch für Folgestunden, wenn gewünscht","alternative Handlungen/ Methoden sammeln, um präventiv mit Lerngruppe in Ruhe zu arbeiten",4,4,3,4,3,4,3,3,3,3,3,4,3,4,3,4,4,1,40
"44",410,"JO17BRH",30,1,NA,NA,NA,"",1,1,5,1,1,1,1,1,1,1,1,1,1,3,1,NA,4,4,4,4,6,6,1,6,6,1,6,6,6,6,1,6,6,1,6,"","","",6,4,4,4,4,4,4,1,3,4,4,4,4,4,4,4,4,1,60
"45",368,"ED09FRS",30,3,NA,NA,NA,"",2,2,4,1,1,1,1,2,3,1,1,1,2,4,1,NA,5,6,4,7,4,1,5,6,6,4,6,6,6,6,1,6,6,6,5,"weiterhin beraten auch POBC","Ursachen suchen und finden","Handlungsmöglichkeiten gemeinsam suchen und finden",3,4,3,2,3,2,4,3,3,3,3,3,2,3,3,3,3,1,47
"46",412,"EL04HEM",20,1,NA,NA,NA,"Die Lerngruppe ist drinnen und bewegt sich kaum. Die laute Kommunikation ist ein Kompensationsventil der Klasse. ",3,4,4,1,2,1,3,3,3,1,1,1,3,3,3,NA,1,4,5,4,1,2,3,5,4,4,4,5,4,5,5,5,4,5,3,"aktivierende Methoden im Seminar machen, die auf Unterrichtskontexte übertragbar sind.","","",4,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,NA,NA
"47",413,"GE25NOM",30,1,NA,NA,NA,"Es scheint einen Konflikt zu geben der eine derart nachhaltige Störung anfacht. Ob dies ein Konflikt zwischen der Lehrperson und den SuS ist oder unter den SuS etwas passiert ist, ist durch die Beschreibung oben nicht zu erkennen.",1,3,5,1,1,NA,1,2,4,NA,2,1,1,5,4,NA,4,4,4,7,NA,NA,NA,6,6,3,NA,4,4,4,4,3,6,5,5,"die/den LAA die Situation reflektieren lassen","eine Analyse verschiedener Aspekte/Gründe/Ursachen gemeinsam durchführen","alternative Handlungsmöglichkeiten besprechen und ggf. schulische Unterstützung (ABB/etc) anregen",2,3,3,3,NA,3,3,NA,2,3,3,3,3,3,3,3,3,1,48
"48",414,"UR03LOB",7,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",416,"AN06KLG",30,3,NA,NA,NA,"Schüler*innen-Lehrer*innen-Beziehung",4,2,4,1,1,NA,1,2,4,1,1,2,2,5,2,NA,4,6,4,5,2,2,4,5,4,2,6,6,1,5,5,5,6,6,4,"(noch einmal) das Thema Beziehungsarbeit im Schulalltag aufgreifen","nach Unterstützungsmöglichkeiten in der Schule fragen","",4,4,4,3,3,4,4,2,3,4,4,4,3,4,4,4,4,1,42
"50",417,"MA02PAM",30,1,NA,NA,NA,"Bedürfnis der Lerngruppe falsch eingeschätzt (die brauchen zügigeren Start und Interaktion statt Abwarten der LAA)",1,2,5,1,2,1,1,2,3,1,1,1,1,5,2,NA,3,7,5,7,1,2,6,5,5,5,5,6,5,4,4,4,4,6,3,"Lerngruppenbeobachtung für die Folgestunden beauftragen","Ideen für Variationen des U-Beginns sammeln und anbieten","",4,3,4,4,3,3,3,2,3,4,4,2,3,3,4,3,3,2,45
"51",418,"LU05GED",12,2,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",419,"GA19LOR",14,3,NA,NA,NA,"Autismus",5,1,5,1,1,1,1,1,1,1,1,1,1,4,1,NA,4,4,5,5,2,5,1,5,6,4,6,6,4,3,4,6,5,3,4,"mit LAA (und ggf. Mentor*in) gemeinsam nach Ursachen für das gezeigte Verhalten schauen und gemeinsame Strategien für den Umgang mit dem herausfordernden Verhalten erarbeiten.","den/die LAA noch einmal beide Verhaltensperspektiven (S. und LAA) einnehmen lassen.","als Erstes den/die LAA fragen, wie sie sich in der Situation gefühlt hat, was die Situation mit ihr gemacht hat und in einem 2. Schritt die auch aus Schülerperspektive zu evaluieren (soweit dies möglich ist)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",421,"HE27HEO",30,3,NA,NA,NA,"Desinteresse am Lerngegenstand",4,2,4,1,3,3,1,1,3,1,2,1,1,3,2,NA,4,6,5,6,4,4,2,4,5,6,6,5,4,5,5,6,6,4,4,"zuhören - die Situation verstehen wollen","vom LAA/ von der LAA ausgehend beraten","Reflexivität anregen - Lösungsorientiert denken",4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,55
"54",422,"GA25HEO",30,3,NA,NA,NA,"fehlender Gebrauchswert der Stunde für den SuS",1,2,4,1,1,1,1,2,1,1,1,1,3,1,4,NA,6,6,1,7,1,2,4,5,5,2,4,6,6,6,6,6,5,6,2,"gemeinsam mit LAA und Ausbildungslehrkraft überlegen, wie man den Gebrauchswert in der Stunde steigern/ transparent machen kann.","gemeinsam mit LAA und Ausbildungslehrkraft überlegen, welche Möglichkeiten des gibt, um die Aufmerksamkeit des Schülers zu fokussieren.","",3,3,2,4,3,4,3,2,2,3,3,4,3,4,4,4,4,1,38
"55",424,"ML03FVD",11,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",425,"ER19JUD",30,1,NA,NA,NA,"Schwierigkeiten in der Beziehungsebene zwischen LAA und Schülern",2,4,3,1,1,1,1,3,1,1,1,1,1,4,1,NA,4,6,5,7,2,4,5,5,6,3,6,6,6,6,4,6,6,5,6,"evidenzbasiertes Material zur Beseitigung der Störungen bereitstellen","","",3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,64
